Thermistor,Sensor.id,T.number,T.depth.cm,T.rel.depth,Tree.id,Species,DBH.cm,Avg.SFD.cm.h,swd,T.rel.depth.to.heartwood
s1.T1,1,1,0.36,0.012587413,82,Pisonia grandis,57.2,0.889184857,13.3055238,0.027056432
s1.T2,1,2,3.36,0.117482517,82,Pisonia grandis,57.2,0.795815451,13.3055238,0.252526699
s1.T4,1,4,9.36,0.327272727,82,Pisonia grandis,57.2,0.803576005,13.3055238,0.703467232
s11.T2,11,2,1.5,0.051369863,96,Pisonia grandis,58.4,1.077012085,13.39568275,0.111976375
s11.T3,11,3,5,0.171232877,96,Pisonia grandis,58.4,0.741816911,13.39568275,0.373254585
s14.T2,14,2,3.36,0.065882353,95,Pisonia grandis,102,0.977192638,15.81730794,0.212425529
s14.T3,14,3,6.36,0.124705882,95,Pisonia grandis,102,0.972281274,15.81730794,0.402091179
s16.T2,16,2,2.5,0.121654501,99,Pisonia grandis,41.1,1.333821245,11.87012877,0.210612711
s16.T3,16,3,4,0.194647202,99,Pisonia grandis,41.1,2.245175342,11.87012877,0.336980338
s19.T2,19,2,1.79,0.073210634,98,Pisonia grandis,48.9,2.514438709,12.62472184,0.141785302
s19.T3,19,3,3.09,0.126380368,98,Pisonia grandis,48.9,3.386354518,12.62472184,0.244757868
s19.T4,19,4,4.39,0.179550102,98,Pisonia grandis,48.9,3.393072242,12.62472184,0.347730434
s2.T1,2,1,0.5,0.027173913,78,Pisonia grandis,36.8,0.852120422,11.39023789,0.043897239
s2.T3,2,3,5,0.27173913,78,Pisonia grandis,36.8,0.926352156,11.39023789,0.438972394
s2.T4,2,4,8.5,0.461956522,78,Pisonia grandis,36.8,0.375314581,11.39023789,0.74625307
s20.T1,20,1,0.49,0.0765625,100,Pisonia grandis,12.8,2.180955441,6.804329155,0.072012977
s20.T2,20,2,1.79,0.2796875,100,Pisonia grandis,12.8,2.641380396,6.804329155,0.263067815
s35.T2,35,2,3.36,0.147368421,91,Pisonia grandis,45.6,0.486562525,12.32131276,0.272698215
s35.T3,35,3,6.36,0.278947368,91,Pisonia grandis,45.6,0.391203659,12.32131276,0.516178765
s35.T4,35,4,9.36,0.410526316,91,Pisonia grandis,45.6,0.207415532,12.32131276,0.759659314
s4.T1,4,1,1,0.028571429,84,Pisonia grandis,70,0.414513482,14.18245409,0.070509659
s4.T2,4,2,2.5,0.071428571,84,Pisonia grandis,70,0.65646393,14.18245409,0.176274147
s4.T3,4,3,4,0.114285714,84,Pisonia grandis,70,0.603621088,14.18245409,0.282038636
s4.T4,4,4,5.5,0.157142857,84,Pisonia grandis,70,0.471483702,14.18245409,0.387803124
s57.T1,57,1,0.49,0.090740741,77,Pisonia grandis,10.8,0.195546729,6.066542587,0.080770883
s57.T2,57,2,1.79,0.331481481,77,Pisonia grandis,10.8,0.004736796,6.066542587,0.29506098
s57.T3,57,3,3.09,0.572222222,77,Pisonia grandis,10.8,-0.020158885,6.066542587,0.509351077
s57.T4,57,4,4.39,0.812962963,77,Pisonia grandis,10.8,0.010178092,6.066542587,0.723641174
s58.T1,58,1,1,0.124223602,89,Pisonia grandis,16.1,0.551450395,7.800386189,0.128198781
s58.T2,58,2,2.5,0.310559006,89,Pisonia grandis,16.1,0.061928753,7.800386189,0.320496952
s58.T3,58,3,4,0.49689441,89,Pisonia grandis,16.1,-0.015452428,7.800386189,0.512795124
s58.T4,58,4,5.5,0.683229814,89,Pisonia grandis,16.1,0.007866339,7.800386189,0.705093295
s8.T1,8,1,0.36,0.037113402,85,Pisonia grandis,19.4,3.288273997,8.610061789,0.041811547
s8.T3,8,3,6.36,0.655670103,85,Pisonia grandis,19.4,-0.133278119,8.610061789,0.738670657
s9.T1,9,1,0.5,0.028011204,87,Pisonia grandis,35.7,1.72359275,11.25845537,0.044411066
s9.T2,9,2,1.5,0.084033613,87,Pisonia grandis,35.7,3.243899495,11.25845537,0.133233197
s9.T3,9,3,5,0.280112045,87,Pisonia grandis,35.7,1.902731311,11.25845537,0.444110656
s9.T4,9,4,8.5,0.476190476,87,Pisonia grandis,35.7,2.051224911,11.25845537,0.754988115
s96.T3,96,3,6.74,0.122434151,80,Pisonia grandis,110.1,0.777275548,16.14914542,0.417359546
s96.T4,96,4,9.94,0.180563124,80,Pisonia grandis,110.1,0.693839832,16.14914542,0.615512446
